country,region,subregion,population,population growth,area,GDP(PPP) per capita,Gini,Ethnic Fractionalization,Linguistic Fractionalization,Religious Fractionalization,cannabis,cigarettes,alcohol,MF ratio (birth),MF ratio (lt15),MF ratio 15-64,M/F >65,MF in population
Latvia,Europe,Northern Europe,2050317,-0.00574,64589,18058,35.9,0.5867,0.5795,0.5556,4.9,785,12.5,1.05,1.05,0.95,0.49,0.86
Lebanon,Asia,Western Asia,4821971,0.0304,10400,15587,NA,0.1314,0.1312,0.7886,1.9,2138,2.23,1.05,1.04,0.98,0.82,0.97
Lesotho,Africa,Southern Africa,2074465,0.01077,30355,2126,57.85,0.255,0.2543,0.7211,NA,62,5.55,1.03,1.01,0.96,0.66,0.96
Liberia,Africa,Western Africa,4294077,0.02582,111370,665,38.2,0.9084,0.9038,0.4883,NA,113,5.06,1.03,1,0.98,0.94,0.99
Libya,Africa,Northern Africa,6201521,0.00895,1759540,11936,NA,0.792,0.0758,0.057,0.05,818,0.11,1.05,1.04,1.06,0.96,1.05
Liechtenstein,Europe,Western Europe,36925,0.00729,160,NA,NA,0.5726,0.2246,0.3343,8.6,NA,NA,1.26,1.09,0.99,0.76,0.94
Lithuania,Europe,Northern Europe,3016933,-0.00458,65200,21383,36.55,0.3223,0.3219,0.4141,5.6,804,15.03,1.06,1.05,0.96,0.53,0.89
Luxembourg,Europe,Western Europe,530380,0.01347,2586,77958,28.4,0.5302,0.644,0.0911,7.6,928,13.01,1.07,1.06,1.02,0.7,0.97
Macao,Asia,Eastern Asia,566375,0.01781,29,NA,NA,0,0.2519,0.5511,0.7,NA,NA,1.05,1.14,0.88,0.88,0.92
Macedonia,Europe,Southern Europe,2107158,0.00067,25333,10465,43.2,0.5023,0.5021,0.5899,0.6,1934,8.51,1.08,1.08,1.02,0.77,1
Madagascar,Africa,Eastern Africa,22924851,0.0279,587040,945,45.8,0.8791,0.0204,0.5191,9.1,260,1.33,1.03,1.01,0.99,0.8,0.99
Malawi,Africa,Eastern Africa,16362567,0.02845,118480,848,39,0.6744,0.6023,0.8192,NA,48,1.74,1.02,1,1.01,0.74,1
Malaysia,Asia,South-Eastern Asia,29716965,0.01613,329750,16794,46.2,0.588,0.597,0.6657,1.6,539,0.82,1.07,1.06,1.01,0.79,1.01
Maldives,Asia,South-Central Asia,345023,0.0189,300,8856,37.4,NA,NA,NA,0.5,170,NA,1.05,1.04,1.04,1,1.05
Mali,Africa,Western Africa,15301650,0.03011,1240000,1088,36.55,0.6906,0.8388,0.182,7.8,127,1.04,1.03,1.02,0.99,0.64,0.99
Malta,Europe,Southern Europe,429004,0.00304,316,26857,27.4,0.0414,0.0907,0.1223,4.5,1378,4.27,1.06,1.06,1.03,0.76,0.99
Marshall Islands,Oceania,Micronesia,52634,0.00214,181,8590,NA,0.0603,0.0734,0.5207,5.5,NA,NA,1.05,1.04,1.05,0.94,1.04
Martinique,Latin America and Caribbean,Caribbean,403682,0.00242,NA,NA,NA,0,0,0.2336,NA,NA,NA,NA,NA,NA,NA,NA
